700,0.305195
701,0.298701
702,0.350649
703,0.305195
704,0.311688
705,0.318182
706,0.311688
707,0.285714
708,0.298701
709,0.318182
710,0.292208
711,0.305195
712,0.318182
713,0.324675
714,0.305195
715,0.285714
716,0.318182
717,0.318182
718,0.272727
719,0.337662
720,0.331169
721,0.324675
722,0.311688
723,0.298701
724,0.279221
725,0.337662
726,0.311688
727,0.292208
728,0.311688
729,0.318182
730,0.285714
731,0.279221
732,0.318182
733,0.292208
734,0.298701
735,0.305195
736,0.292208
737,0.292208
738,0.311688
739,0.305195
740,0.331169
741,0.298701
742,0.318182
743,0.324675
744,0.311688
745,0.279221
746,0.279221
747,0.305195
748,0.311688
749,0.318182
750,0.298701
751,0.285714
752,0.324675
753,0.305195
754,0.311688
755,0.298701
756,0.292208
757,0.318182
758,0.324675
759,0.292208
760,0.305195
761,0.298701
762,0.292208
763,0.298701
764,0.311688
765,0.298701
766,0.324675
767,0.318182
